epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7286,1.4857,3.47274,1.20201,0,0,0,0,0.65074,3.61725,1.12688,4e-05,4e-05,4e-05
2,25.378,1.0156,3.26893,1.06697,0.00333,0.04167,0.00177,0.00052,0.53298,3.45729,0.93641,9.9901e-05,9.9901e-05,9.9901e-05
3,41.5258,0.76433,2.99842,0.90182,0.02,0.25,0.0126,0.01092,0.667,3.09537,0.85857,0.000159683,0.000159683,0.000159683
4,52.6393,0.87767,2.96408,0.8917,0.07167,0.89583,0.26245,0.21867,0.47196,2.9356,0.81915,0.000219347,0.000219347,0.000219347
5,62.8604,0.81536,2.62627,0.86688,0.08,1,0.6433,0.50331,0.49823,2.84982,0.80693,0.000278891,0.000278891,0.000278891
6,73.2609,0.79421,2.45326,0.85803,0.08,1,0.87585,0.59935,0.56688,2.78758,0.80088,0.000338317,0.000338317,0.000338317
7,85.9479,0.80587,2.30965,0.85004,0.08,1,0.89917,0.61579,0.61359,2.76882,0.80642,0.000397624,0.000397624,0.000397624
8,95.6226,0.77089,2.0433,0.83947,0.08,1,0.88559,0.60145,0.64542,2.75155,0.80213,0.000456812,0.000456812,0.000456812
9,106.231,0.85587,1.84736,0.84432,0.08,1,0.9629,0.65795,0.67789,2.73464,0.80578,0.000515882,0.000515882,0.000515882
10,117.811,0.81705,1.78039,0.85722,0.08,1,0.94198,0.66645,0.65082,2.70374,0.7981,0.000574832,0.000574832,0.000574832
11,130.446,0.81896,1.656,0.8564,0.08,1,0.79317,0.56753,0.60002,2.70457,0.79807,0.000633664,0.000633664,0.000633664
12,141.328,0.90233,1.44336,0.8589,0.08,1,0.53968,0.42025,0.56336,2.72682,0.81319,0.000692377,0.000692377,0.000692377
13,152.42,0.79958,1.44318,0.85167,0.08,1,0.46755,0.36098,0.47906,2.70443,0.81412,0.000750971,0.000750971,0.000750971
14,162.501,0.84494,1.31881,0.88108,0.08,1,0.46975,0.42409,0.46174,2.77099,0.82555,0.000809447,0.000809447,0.000809447
15,172,0.8361,1.15126,0.85206,0.08,1,0.46975,0.42409,0.46174,2.77099,0.82555,0.000867803,0.000867803,0.000867803
16,181.703,0.748,1.04409,0.86021,0.075,0.9375,0.51398,0.45059,0.48811,2.96699,0.86382,0.000926041,0.000926041,0.000926041
17,191.524,0.84603,1.06983,0.86925,0.07,0.875,0.50837,0.41671,0.59952,3.00819,0.89443,0.00098416,0.00098416,0.00098416
18,201.648,0.83673,1.05818,0.8633,0.07,0.875,0.50837,0.41671,0.59952,3.00819,0.89443,0.00104216,0.00104216,0.00104216
19,213.011,0.79737,0.96801,0.86425,1,0.39294,0.49675,0.43152,0.5913,2.9926,0.90652,0.00110004,0.00110004,0.00110004
20,224.816,0.76413,0.86149,0.85309,1,0.28146,0.45314,0.38674,0.67112,3.03815,0.94621,0.0011578,0.0011578,0.0011578
