epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52795,0.98293,2.89258,1.29107,0.00333,1,0.14638,0.03712,0.4941,3.25776,1.12476,2e-05,2e-05,2e-05
2,8.96457,0.98034,2.71304,1.24955,0.00333,1,0.316,0.15169,0.38609,3.26925,1.08241,5.99406e-05,5.99406e-05,5.99406e-05
3,13.1515,0.96781,2.79174,1.20634,0.00333,1,0.83,0.53269,0.40108,3.2346,1.09515,9.9802e-05,9.9802e-05,9.9802e-05
4,17.3965,0.85194,2.7357,1.26343,0.00333,1,0.863,0.70471,0.50465,3.0709,0.94996,0.000139584,0.000139584,0.000139584
5,21.7573,0.60786,2.72837,1.19307,0.00333,1,0.9125,0.73936,0.50509,3.04193,0.91123,0.000179287,0.000179287,0.000179287
6,25.966,0.45276,2.61761,0.89321,0.00333,1,0.80643,0.69811,0.43237,3.02414,0.83773,0.000218911,0.000218911,0.000218911
7,30.1152,0.57232,2.31532,1.00507,0.00333,1,0.7475,0.58815,0.42767,3.02378,0.81446,0.000258456,0.000258456,0.000258456
8,34.228,0.71347,2.34437,1.08593,0.00333,1,0.72324,0.60634,0.46614,3.01135,0.8266,0.000297921,0.000297921,0.000297921
9,38.2771,0.49544,2.17219,1.01044,0.00333,1,0.71214,0.60325,0.65108,2.88807,0.85631,0.000337307,0.000337307,0.000337307
10,42.5617,0.66324,2.16609,1.05408,0.00333,1,0.83,0.75307,0.56899,2.8114,0.8696,0.000376614,0.000376614,0.000376614
11,47.1023,0.68335,2.05825,0.914,0.00333,1,0.753,0.65587,0.53694,2.67575,0.95627,0.000415842,0.000415842,0.000415842
12,51.5337,0.46958,1.84984,1.00243,0.00333,1,0.753,0.65587,0.53694,2.67575,0.95627,0.000454991,0.000454991,0.000454991
13,55.9148,0.45864,1.76149,0.92171,0.00333,1,0.74625,0.58895,0.62703,2.59963,1.03719,0.00049406,0.00049406,0.00049406
14,60.1744,0.54922,1.74949,1.05027,0.00333,1,0.995,0.80757,0.66462,2.4685,0.94277,0.00053305,0.00053305,0.00053305
15,64.2056,0.38667,1.51995,0.88816,0.00333,1,0.995,0.80757,0.66462,2.4685,0.94277,0.000571961,0.000571961,0.000571961
16,68.4653,0.65736,1.62108,1.02224,0.00333,1,0.9125,0.79654,0.69545,2.49409,0.87596,0.000610793,0.000610793,0.000610793
17,72.6908,0.58525,1.44808,0.98019,0.00853,1,0.863,0.65141,0.82451,2.59033,0.97688,0.000649546,0.000649546,0.000649546
18,76.7261,0.69495,1.64524,1.11273,0.00853,1,0.863,0.65141,0.82451,2.59033,0.97688,0.000688219,0.000688219,0.000688219
19,80.8562,0.69624,1.46571,0.98718,0.51055,0.33333,0.83,0.61515,0.63588,2.52781,0.92691,0.000726813,0.000726813,0.000726813
20,85.1652,0.62577,1.29665,1.01316,0.51055,0.33333,0.83,0.61515,0.63588,2.52781,0.92691,0.000765328,0.000765328,0.000765328
21,89.3311,0.73313,1.48732,1.10105,0.55946,0.33333,0.83,0.747,0.53573,2.3744,0.88742,0.000803764,0.000803764,0.000803764
22,93.4915,0.60595,1.20582,1.01124,0.55946,0.33333,0.83,0.747,0.53573,2.3744,0.88742,0.000842121,0.000842121,0.000842121
23,97.6715,0.657,1.43703,1.06153,0.96831,1,0.995,0.91229,0.42338,2.0724,0.80246,0.000880398,0.000880398,0.000880398
24,101.84,0.69355,1.30042,0.95167,0.96831,1,0.995,0.91229,0.42338,2.0724,0.80246,0.000918596,0.000918596,0.000918596
25,105.994,0.65447,1.18132,0.88342,0.9868,1,0.995,0.70192,0.98348,1.81081,1.34249,0.000956715,0.000956715,0.000956715
26,110.161,0.60075,1.21153,0.98672,0.9868,1,0.995,0.70192,0.98348,1.81081,1.34249,0.000994755,0.000994755,0.000994755
27,114.292,0.68716,1.30411,0.9864,0.9868,1,0.995,0.70192,0.98348,1.81081,1.34249,0.00103272,0.00103272,0.00103272
28,118.524,0.61271,1.16112,1.05405,0.97386,1,0.995,0.92904,0.5388,1.56343,0.88428,0.0010706,0.0010706,0.0010706
29,122.497,0.53686,1.08563,0.939,0.97386,1,0.995,0.92904,0.5388,1.56343,0.88428,0.0011084,0.0011084,0.0011084
30,126.647,0.59745,1.02458,0.95987,0.71464,1,0.9125,0.78004,0.75717,1.97708,1.13611,0.00114612,0.00114612,0.00114612
31,130.797,0.76102,1.35694,1.08268,0.71464,1,0.9125,0.78004,0.75717,1.97708,1.13611,0.00118377,0.00118377,0.00118377
32,134.87,0.89627,1.36617,1.14103,0.71464,1,0.9125,0.78004,0.75717,1.97708,1.13611,0.00122133,0.00122133,0.00122133
33,139.316,0.69272,1.25889,1.07156,0.72483,1,0.995,0.82954,0.75199,2.16618,1.27271,0.00125882,0.00125882,0.00125882
34,143.267,0.89339,1.19364,1.07607,0.72483,1,0.995,0.82954,0.75199,2.16618,1.27271,0.00129622,0.00129622,0.00129622
35,147.21,0.6246,1.16917,1.0813,0.72483,1,0.995,0.82954,0.75199,2.16618,1.27271,0.00133355,0.00133355,0.00133355
36,151.354,0.59962,1.11837,1.02652,0.62646,1,0.995,0.796,0.84185,2.55576,1.52101,0.0013708,0.0013708,0.0013708
37,155.295,0.7173,1.25428,1.03607,0.62646,1,0.995,0.796,0.84185,2.55576,1.52101,0.00140797,0.00140797,0.00140797
38,159.128,0.62219,0.99556,0.95912,0.62646,1,0.995,0.796,0.84185,2.55576,1.52101,0.00144505,0.00144505,0.00144505
39,163.138,0.64937,1.29658,1.07787,0.63044,1,0.9125,0.73045,0.75816,3.0864,1.16304,0.00148207,0.00148207,0.00148207
40,167.127,0.67603,1.08743,0.99054,0.63044,1,0.9125,0.73045,0.75816,3.0864,1.16304,0.001519,0.001519,0.001519
41,171.111,0.74328,1.37388,1.10632,0.63044,1,0.9125,0.73045,0.75816,3.0864,1.16304,0.00155585,0.00155585,0.00155585
42,175.012,0.95971,1.49634,1.19357,0.3724,1,0.80643,0.62211,0.92077,4.2794,1.12038,0.00159262,0.00159262,0.00159262
43,178.958,0.97276,1.41004,1.13556,0.3724,1,0.80643,0.62211,0.92077,4.2794,1.12038,0.00162931,0.00162931,0.00162931
44,182.953,0.53323,0.98611,0.92762,0.3724,1,0.80643,0.62211,0.92077,4.2794,1.12038,0.00166593,0.00166593,0.00166593
45,186.875,0.80914,1.30496,1.08086,0.3724,1,0.80643,0.62211,0.92077,4.2794,1.12038,0.00170246,0.00170246,0.00170246
46,190.802,0.69921,1.04603,1.04711,0.9814,1,0.995,0.86307,0.68281,1.75146,0.92745,0.00173892,0.00173892,0.00173892
47,194.652,0.50558,1.10381,0.93423,0.9814,1,0.995,0.86307,0.68281,1.75146,0.92745,0.0017753,0.0017753,0.0017753
48,198.72,0.73525,1.28571,1.11031,0.9814,1,0.995,0.86307,0.68281,1.75146,0.92745,0.00181159,0.00181159,0.00181159
49,202.799,0.59387,0.98787,1.07581,0.9814,1,0.995,0.86307,0.68281,1.75146,0.92745,0.00184781,0.00184781,0.00184781
50,206.887,0.69104,1.07022,0.943,0.7483,1,0.9125,0.63174,0.75042,2.59056,0.96562,0.00188395,0.00188395,0.00188395
51,211.088,0.66969,1.08653,1.03653,0.7483,1,0.9125,0.63174,0.75042,2.59056,0.96562,0.001901,0.001901,0.001901
52,215.146,0.71898,1.2908,1.00107,0.7483,1,0.9125,0.63174,0.75042,2.59056,0.96562,0.00189902,0.00189902,0.00189902
53,218.949,0.5876,1.16326,0.94185,0.7483,1,0.9125,0.63174,0.75042,2.59056,0.96562,0.00189704,0.00189704,0.00189704
54,222.976,0.57697,1.08202,0.91832,0.71249,1,0.83,0.51043,1.1587,2.2429,1.62816,0.00189506,0.00189506,0.00189506
55,226.857,0.60411,1.11689,1.0871,0.71249,1,0.83,0.51043,1.1587,2.2429,1.62816,0.00189308,0.00189308,0.00189308
56,231.056,0.81215,1.21947,1.06098,0.71249,1,0.83,0.51043,1.1587,2.2429,1.62816,0.0018911,0.0018911,0.0018911
57,235.216,0.85225,1.45082,1.25008,0.71249,1,0.83,0.51043,1.1587,2.2429,1.62816,0.00188912,0.00188912,0.00188912
58,239.547,0.89818,1.19473,1.0626,0.41919,1,0.64143,0.25251,1.80926,5.06642,2.27244,0.00188714,0.00188714,0.00188714
59,243.812,0.81321,1.10443,0.95757,0.41919,1,0.64143,0.25251,1.80926,5.06642,2.27244,0.00188516,0.00188516,0.00188516
60,248.157,0.59622,1.00313,0.96587,0.41919,1,0.64143,0.25251,1.80926,5.06642,2.27244,0.00188318,0.00188318,0.00188318
61,252.443,0.69176,0.97659,0.97995,0.41919,1,0.64143,0.25251,1.80926,5.06642,2.27244,0.0018812,0.0018812,0.0018812
62,256.485,0.63544,1.10702,1.08486,0.71707,1,0.9125,0.36812,1.93986,3.95741,2.3105,0.00187922,0.00187922,0.00187922
63,260.583,0.60366,1.09623,1.04135,0.71707,1,0.9125,0.36812,1.93986,3.95741,2.3105,0.00187724,0.00187724,0.00187724
64,264.82,0.70693,1.10796,1.02268,0.71707,1,0.9125,0.36812,1.93986,3.95741,2.3105,0.00187526,0.00187526,0.00187526
65,268.941,0.5479,1.07928,0.94414,0.71707,1,0.9125,0.36812,1.93986,3.95741,2.3105,0.00187328,0.00187328,0.00187328
66,273.219,0.64266,1.00061,1.00661,0.89132,0.66667,0.863,0.49209,1.19399,3.20789,1.36604,0.0018713,0.0018713,0.0018713
67,277.186,0.66055,1.00937,1.02258,0.89132,0.66667,0.863,0.49209,1.19399,3.20789,1.36604,0.00186932,0.00186932,0.00186932
68,282.022,0.62188,1.03841,1.04434,0.89132,0.66667,0.863,0.49209,1.19399,3.20789,1.36604,0.00186734,0.00186734,0.00186734
69,286.796,0.59571,1.04605,0.97586,0.89132,0.66667,0.863,0.49209,1.19399,3.20789,1.36604,0.00186536,0.00186536,0.00186536
70,290.937,0.52854,0.93095,0.99433,0.70342,1,0.9125,0.7965,0.65493,1.90975,1.02066,0.00186338,0.00186338,0.00186338
71,295.093,0.46717,0.89409,0.97978,0.70342,1,0.9125,0.7965,0.65493,1.90975,1.02066,0.0018614,0.0018614,0.0018614
72,298.908,0.70087,1.1434,1.07287,0.70342,1,0.9125,0.7965,0.65493,1.90975,1.02066,0.00185942,0.00185942,0.00185942
73,302.831,0.54654,0.93131,0.97244,0.70342,1,0.9125,0.7965,0.65493,1.90975,1.02066,0.00185744,0.00185744,0.00185744
74,306.818,0.532,0.86008,0.91811,0.9384,1,0.995,0.85157,0.47701,1.46597,0.8018,0.00185546,0.00185546,0.00185546
75,310.97,0.86649,1.15795,1.11058,0.9384,1,0.995,0.85157,0.47701,1.46597,0.8018,0.00185348,0.00185348,0.00185348
76,314.907,0.56564,0.85732,0.93581,0.9384,1,0.995,0.85157,0.47701,1.46597,0.8018,0.0018515,0.0018515,0.0018515
77,318.822,0.73615,1.0183,1.08085,0.9384,1,0.995,0.85157,0.47701,1.46597,0.8018,0.00184952,0.00184952,0.00184952
78,322.838,0.56587,0.80133,0.92433,0.88246,1,0.995,0.91229,0.52364,1.60303,0.84673,0.00184754,0.00184754,0.00184754
79,326.801,0.54197,0.88207,0.94943,0.88246,1,0.995,0.91229,0.52364,1.60303,0.84673,0.00184556,0.00184556,0.00184556
80,330.632,0.67812,0.90488,1.14228,0.88246,1,0.995,0.91229,0.52364,1.60303,0.84673,0.00184358,0.00184358,0.00184358
81,334.494,0.69541,0.94176,0.97762,0.88246,1,0.995,0.91229,0.52364,1.60303,0.84673,0.0018416,0.0018416,0.0018416
82,338.515,0.53974,0.90115,1.02232,0.75543,1,0.995,0.8955,0.56107,1.80215,0.86489,0.00183962,0.00183962,0.00183962
83,342.463,0.63552,0.92783,1.02771,0.75543,1,0.995,0.8955,0.56107,1.80215,0.86489,0.00183764,0.00183764,0.00183764
84,346.423,0.70983,0.86268,1.0954,0.75543,1,0.995,0.8955,0.56107,1.80215,0.86489,0.00183566,0.00183566,0.00183566
85,350.337,0.56987,0.87225,1.00525,0.75543,1,0.995,0.8955,0.56107,1.80215,0.86489,0.00183368,0.00183368,0.00183368
86,354.398,0.65874,0.81068,0.96993,0.96822,1,0.995,0.85154,0.63584,2.11329,0.86482,0.0018317,0.0018317,0.0018317
87,358.343,0.48621,1.03037,0.97205,0.96822,1,0.995,0.85154,0.63584,2.11329,0.86482,0.00182972,0.00182972,0.00182972
88,362.197,0.48612,0.76795,0.91039,0.96822,1,0.995,0.85154,0.63584,2.11329,0.86482,0.00182774,0.00182774,0.00182774
89,366.153,0.62039,0.88748,0.97044,0.96822,1,0.995,0.85154,0.63584,2.11329,0.86482,0.00182576,0.00182576,0.00182576
90,370.324,0.58219,0.91271,1.05265,0.58465,1,0.863,0.75694,0.72218,3.22193,0.99757,0.00182378,0.00182378,0.00182378
91,374.283,0.60333,1.10615,1.16301,0.58465,1,0.863,0.75694,0.72218,3.22193,0.99757,0.0018218,0.0018218,0.0018218
92,378.26,0.54706,1.04738,1.05864,0.58465,1,0.863,0.75694,0.72218,3.22193,0.99757,0.00181982,0.00181982,0.00181982
93,382.451,0.46189,0.95437,0.89047,0.58465,1,0.863,0.75694,0.72218,3.22193,0.99757,0.00181784,0.00181784,0.00181784
94,386.663,0.45793,0.75673,0.95431,0.4068,1,0.47393,0.37011,0.86939,3.99961,1.32582,0.00181586,0.00181586,0.00181586
95,390.65,0.49937,0.77778,0.94852,0.4068,1,0.47393,0.37011,0.86939,3.99961,1.32582,0.00181388,0.00181388,0.00181388
96,394.7,0.61633,0.94818,1.06483,0.4068,1,0.47393,0.37011,0.86939,3.99961,1.32582,0.0018119,0.0018119,0.0018119
97,398.544,0.73011,0.9766,0.96096,0.4068,1,0.47393,0.37011,0.86939,3.99961,1.32582,0.00180992,0.00180992,0.00180992
98,402.741,0.61585,0.91087,1.06402,0.31118,0.66667,0.34215,0.28604,0.88074,4.64148,1.27615,0.00180794,0.00180794,0.00180794
99,407.199,0.46875,0.83154,0.93484,0.31118,0.66667,0.34215,0.28604,0.88074,4.64148,1.27615,0.00180596,0.00180596,0.00180596
100,411.267,0.52067,0.80996,0.94288,0.31118,0.66667,0.34215,0.28604,0.88074,4.64148,1.27615,0.00180398,0.00180398,0.00180398
101,415.364,0.51588,0.84464,0.96914,0.31118,0.66667,0.34215,0.28604,0.88074,4.64148,1.27615,0.001802,0.001802,0.001802
102,419.268,0.50721,0.957,0.92,0.61301,0.66667,0.80643,0.65526,0.94996,2.92322,1.37559,0.00180002,0.00180002,0.00180002
103,423.136,0.6197,0.82394,0.98126,0.61301,0.66667,0.80643,0.65526,0.94996,2.92322,1.37559,0.00179804,0.00179804,0.00179804
104,427.131,0.60567,1.03291,1.02851,0.61301,0.66667,0.80643,0.65526,0.94996,2.92322,1.37559,0.00179606,0.00179606,0.00179606
105,431.124,0.5209,0.90783,0.93099,0.61301,0.66667,0.80643,0.65526,0.94996,2.92322,1.37559,0.00179408,0.00179408,0.00179408
106,435.142,0.55952,0.75877,0.91715,0.70059,0.66667,0.863,0.71142,0.89907,2.29979,1.4134,0.0017921,0.0017921,0.0017921
107,439.208,0.66121,0.98653,1.0576,0.70059,0.66667,0.863,0.71142,0.89907,2.29979,1.4134,0.00179012,0.00179012,0.00179012
108,443.252,0.60267,1.0096,0.92705,0.70059,0.66667,0.863,0.71142,0.89907,2.29979,1.4134,0.00178814,0.00178814,0.00178814
109,447.143,0.56788,0.95152,0.99396,0.70059,0.66667,0.863,0.71142,0.89907,2.29979,1.4134,0.00178616,0.00178616,0.00178616
110,451.037,0.60101,0.82471,1.00056,0.56167,0.66667,0.863,0.68441,1.02944,2.30766,1.6951,0.00178418,0.00178418,0.00178418
111,454.908,0.51596,0.77484,1.00336,0.56167,0.66667,0.863,0.68441,1.02944,2.30766,1.6951,0.0017822,0.0017822,0.0017822
112,458.999,0.57932,0.90465,0.99562,0.56167,0.66667,0.863,0.68441,1.02944,2.30766,1.6951,0.00178022,0.00178022,0.00178022
113,462.874,0.72056,0.94301,1.03057,0.56167,0.66667,0.863,0.68441,1.02944,2.30766,1.6951,0.00177824,0.00177824,0.00177824
114,466.802,0.53086,0.88515,1.06932,0.64882,1,0.9125,0.6894,0.97564,2.4094,1.57864,0.00177626,0.00177626,0.00177626
115,470.729,0.51512,0.7713,0.8544,0.64882,1,0.9125,0.6894,0.97564,2.4094,1.57864,0.00177428,0.00177428,0.00177428
116,474.648,0.54715,0.7509,0.98819,0.64882,1,0.9125,0.6894,0.97564,2.4094,1.57864,0.0017723,0.0017723,0.0017723
117,480.122,0.55766,0.68935,0.88509,0.64882,1,0.9125,0.6894,0.97564,2.4094,1.57864,0.00177032,0.00177032,0.00177032
118,484.277,0.67578,0.80057,0.93871,0.6694,1,0.9125,0.71411,1.03087,2.49498,1.27795,0.00176834,0.00176834,0.00176834
119,489.493,0.62035,0.81593,1.13723,0.6694,1,0.9125,0.71411,1.03087,2.49498,1.27795,0.00176636,0.00176636,0.00176636
120,493.625,0.57951,0.85626,0.98317,0.6694,1,0.9125,0.71411,1.03087,2.49498,1.27795,0.00176438,0.00176438,0.00176438
121,498.248,0.58506,0.97908,0.90153,0.6694,1,0.9125,0.71411,1.03087,2.49498,1.27795,0.0017624,0.0017624,0.0017624
122,502.494,0.49394,0.87683,1.01079,0.65638,1,0.83,0.61515,0.92936,2.42795,1.27318,0.00176042,0.00176042,0.00176042
123,506.42,0.5542,0.79949,0.99636,0.65638,1,0.83,0.61515,0.92936,2.42795,1.27318,0.00175844,0.00175844,0.00175844
124,510.416,0.58479,0.96221,1.03933,0.65638,1,0.83,0.61515,0.92936,2.42795,1.27318,0.00175646,0.00175646,0.00175646
125,514.312,0.44739,0.67087,0.92727,0.65638,1,0.83,0.61515,0.92936,2.42795,1.27318,0.00175448,0.00175448,0.00175448
126,518.382,0.54416,0.74985,0.9759,0.71727,1,0.9125,0.7639,0.87944,1.92318,1.18395,0.0017525,0.0017525,0.0017525
127,522.296,0.51295,0.71681,0.95921,0.71727,1,0.9125,0.7639,0.87944,1.92318,1.18395,0.00175052,0.00175052,0.00175052
128,526.365,0.71671,0.93446,0.99666,0.71727,1,0.9125,0.7639,0.87944,1.92318,1.18395,0.00174854,0.00174854,0.00174854
129,530.193,0.60567,0.8158,1.05893,0.71727,1,0.9125,0.7639,0.87944,1.92318,1.18395,0.00174656,0.00174656,0.00174656
