epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88635,1.31392,2.90516,1.48622,0.00222,0.66667,0.00642,0.00134,1.86864,4.13174,2.06511,4e-05,4e-05,4e-05
2,16.6678,1.0701,2.87757,1.36943,0.00222,0.66667,0.00555,0.00127,1.82746,3.88749,1.85438,9.9901e-05,9.9901e-05,9.9901e-05
3,24.2015,0.93419,2.65777,1.17099,0.00333,1,0.05405,0.01791,1.28381,3.44914,1.36447,0.000159683,0.000159683,0.000159683
4,31.6783,0.88273,2.6442,1.26353,0.00333,1,0.39157,0.23803,0.52542,3.09472,0.82068,0.000219347,0.000219347,0.000219347
5,38.8433,0.7229,2.56634,1.07039,0.00333,1,0.43921,0.38838,0.52633,2.9183,0.7715,0.000278891,0.000278891,0.000278891
6,46.5073,0.6835,2.16556,1.06006,0.00333,1,0.83,0.73434,0.49323,2.80516,0.75312,0.000338317,0.000338317,0.000338317
7,53.9333,0.58389,1.94507,0.95116,0.00333,1,0.9125,0.78845,0.48262,2.77307,0.76405,0.000397624,0.000397624,0.000397624
8,61.2789,0.49092,1.83561,0.96004,0.00333,1,0.9125,0.73841,0.62155,2.78914,0.82047,0.000456812,0.000456812,0.000456812
9,68.5316,0.61334,1.70881,0.94317,0.00333,1,0.9125,0.68746,0.51882,2.7311,0.86172,0.000515882,0.000515882,0.000515882
10,75.7435,0.59229,1.60848,1.01154,0.00333,1,0.83,0.662,0.50891,2.68875,0.89344,0.000574832,0.000574832,0.000574832
11,82.7738,0.62051,1.44451,1.0725,0.00333,1,0.731,0.52271,0.78441,2.78276,1.09319,0.000633664,0.000633664,0.000633664
12,89.7182,0.62511,1.32509,0.98371,0.00333,1,0.995,0.52932,0.96514,2.8165,1.12513,0.000692377,0.000692377,0.000692377
13,98.4207,0.78359,1.30668,1.03491,0.00678,1,0.83,0.59674,0.78228,2.69768,1.10775,0.000750971,0.000750971,0.000750971
14,107.321,0.63559,1.14777,1.02513,1,0.622,0.995,0.83015,0.42194,2.39813,0.82903,0.000809447,0.000809447,0.000809447
15,116.711,0.58577,1.16642,0.95809,1,0.622,0.995,0.83015,0.42194,2.39813,0.82903,0.000867803,0.000867803,0.000867803
16,124.813,0.7162,1.18773,1.01843,0.70484,0.81937,0.9125,0.72766,0.52657,2.22615,0.77389,0.000926041,0.000926041,0.000926041
17,140.45,0.62021,1.10731,1.03365,1,0.9583,0.995,0.78829,0.82907,2.46182,0.99355,0.00098416,0.00098416,0.00098416
18,148.931,0.65945,1.18472,1.11962,1,0.9583,0.995,0.78829,0.82907,2.46182,0.99355,0.00104216,0.00104216,0.00104216
19,157.201,0.56655,1.18709,1.03596,1,0.92337,0.995,0.72702,0.95019,2.16372,1.25964,0.00110004,0.00110004,0.00110004
20,165.699,0.68662,1.11365,1.01417,1,0.97842,0.995,0.8072,0.82794,1.60563,0.96213,0.0011578,0.0011578,0.0011578
21,174.451,0.73593,1.19291,1.09744,1,0.97842,0.995,0.8072,0.82794,1.60563,0.96213,0.00121545,0.00121545,0.00121545
22,183.034,0.64715,1.14445,1.03709,0.98885,1,0.995,0.84037,0.65332,1.64227,0.85422,0.00127297,0.00127297,0.00127297
23,191.158,0.63454,1.13085,0.98066,0.98885,1,0.995,0.84037,0.65332,1.64227,0.85422,0.00133038,0.00133038,0.00133038
24,199.438,0.59158,1.19856,1.02463,0.92188,1,0.995,0.74831,0.70083,2.15641,0.7866,0.00138767,0.00138767,0.00138767
25,208.371,0.67073,1.11621,1.03522,0.92188,1,0.995,0.74831,0.70083,2.15641,0.7866,0.00144484,0.00144484,0.00144484
26,216.745,0.66838,1.04997,0.95076,0.94696,1,0.995,0.86274,0.61439,1.7979,0.78433,0.00150189,0.00150189,0.00150189
27,224.838,0.65347,1.09275,1.00567,0.94696,1,0.995,0.86274,0.61439,1.7979,0.78433,0.00155882,0.00155882,0.00155882
28,232.904,0.56766,1.0569,0.98864,0.44478,1,0.60833,0.54782,0.6797,3.07472,0.86088,0.00161563,0.00161563,0.00161563
29,241.113,0.58841,1.12005,0.94285,0.44478,1,0.60833,0.54782,0.6797,3.07472,0.86088,0.00167232,0.00167232,0.00167232
30,249.541,0.60796,1.16791,1.01675,0.44478,1,0.60833,0.54782,0.6797,3.07472,0.86088,0.0017289,0.0017289,0.0017289
31,257.86,0.69573,1.14445,1.04355,0.571,1,0.64133,0.40257,0.89914,3.57108,0.92374,0.00178535,0.00178535,0.00178535
32,266.141,0.65695,1.08167,1.03095,0.571,1,0.64133,0.40257,0.89914,3.57108,0.92374,0.00184169,0.00184169,0.00184169
33,274.328,0.70169,1.21857,1.07243,0.4979,1,0.4975,0.33753,1.16238,3.62808,1.22257,0.00189791,0.00189791,0.00189791
34,282.323,0.67936,1.11775,1.05548,0.4979,1,0.4975,0.33753,1.16238,3.62808,1.22257,0.00193466,0.00193466,0.00193466
35,290.813,0.77442,1.20503,1.1152,0.4979,1,0.4975,0.33753,1.16238,3.62808,1.22257,0.00193268,0.00193268,0.00193268
36,300.307,0.68969,1.06913,1.01522,0.91962,0.66667,0.80643,0.65239,0.85094,2.31773,1.18151,0.0019307,0.0019307,0.0019307
37,309.296,0.65353,0.92351,0.95675,0.91962,0.66667,0.80643,0.65239,0.85094,2.31773,1.18151,0.00192872,0.00192872,0.00192872
38,318.522,0.54316,1.12676,1.00698,0.91962,0.66667,0.80643,0.65239,0.85094,2.31773,1.18151,0.00192674,0.00192674,0.00192674
39,327.631,0.70955,0.9715,1.0207,0.90832,0.66667,0.698,0.61242,1.04062,2.77126,1.34307,0.00192476,0.00192476,0.00192476
40,336.351,0.69632,1.14765,1.05429,0.90832,0.66667,0.698,0.61242,1.04062,2.77126,1.34307,0.00192278,0.00192278,0.00192278
41,345.525,0.59901,0.96958,0.98072,0.8589,0.66667,0.74115,0.60642,0.88796,3.41927,1.19243,0.0019208,0.0019208,0.0019208
42,354.436,0.65766,0.86506,0.97876,0.8589,0.66667,0.74115,0.60642,0.88796,3.41927,1.19243,0.00191882,0.00191882,0.00191882
43,363.31,0.63123,1.12768,0.90722,0.8589,0.66667,0.74115,0.60642,0.88796,3.41927,1.19243,0.00191684,0.00191684,0.00191684
44,372.185,0.73662,0.98087,1.03302,1,0.94467,0.995,0.68054,0.93979,2.14562,1.36187,0.00191486,0.00191486,0.00191486
45,381.046,0.63583,0.98598,1.06098,1,0.94467,0.995,0.68054,0.93979,2.14562,1.36187,0.00191288,0.00191288,0.00191288
46,389.83,0.62028,0.91435,0.96267,1,0.94467,0.995,0.68054,0.93979,2.14562,1.36187,0.0019109,0.0019109,0.0019109
47,399.242,0.52243,0.87401,0.94207,0.67705,0.66667,0.80643,0.65279,0.93309,2.03592,1.31883,0.00190892,0.00190892,0.00190892
48,408.47,0.78831,1.19743,1.1375,0.67705,0.66667,0.80643,0.65279,0.93309,2.03592,1.31883,0.00190694,0.00190694,0.00190694
49,417.296,0.61051,0.88574,0.94262,0.85215,0.66667,0.83,0.65227,0.91512,2.08048,1.28865,0.00190496,0.00190496,0.00190496
50,426.118,0.60721,0.94527,1.02989,0.85215,0.66667,0.83,0.65227,0.91512,2.08048,1.28865,0.00190298,0.00190298,0.00190298
51,435.69,0.62714,0.88438,0.97343,0.85215,0.66667,0.83,0.65227,0.91512,2.08048,1.28865,0.001901,0.001901,0.001901
52,444.886,0.73987,1.02897,1.09047,0.96892,0.66667,0.863,0.69105,0.77632,1.56772,1.06656,0.00189902,0.00189902,0.00189902
53,453.921,0.54672,0.96203,0.951,0.96892,0.66667,0.863,0.69105,0.77632,1.56772,1.06656,0.00189704,0.00189704,0.00189704
54,462.811,0.61995,0.8268,0.9438,0.96892,0.66667,0.863,0.69105,0.77632,1.56772,1.06656,0.00189506,0.00189506,0.00189506
55,472.115,0.7768,1.00034,0.99728,0.71343,1,0.9125,0.64794,1.02572,1.80779,1.15248,0.00189308,0.00189308,0.00189308
56,481.087,0.66752,0.84267,0.96231,0.71343,1,0.9125,0.64794,1.02572,1.80779,1.15248,0.0018911,0.0018911,0.0018911
57,490.233,0.81536,1.05455,1.13638,0.92104,0.66667,0.863,0.64502,0.91932,2.03382,1.04242,0.00188912,0.00188912,0.00188912
